Number;Nama Media;Jenis Media;Penanggung Jawab;Pemimpin Redaksi;Badan Hukum;Provinsi;Alamat;Telp;Email;Website;Status;Tgl Approve
225;indosport.com;Siber;Abinery Hamzano;Abinery Hamzano;Media Sport Indonesia;DKI Jakarta;Jl Pangeran Jayakarta no 45 Komplek Kota Indah Blok C8-10 Pinangsia, Tamansari, Jakarta Barat 11110;021-6288999;hrindosport@gmail.com;www.indosport.com;Terverifikasi Administratif dan Faktual;2020-12-14
226;Kabardesa.co.id;Siber;Jumardi;Jumardi;Media Kabar Desa;Sulawesi Selatan;Jl. Bau Baharuddin Lantai I No. 2 Sengkang, Kelurahan Bulu Pabbulu, Kecamatan Tempe;0485 3210070 - 081326728283;kabardesa.co.id@gmail.com;www.kabardesa.co.id;Terverifikasi Administratif;2020-12-14
227;Analisadaily.com;Siber;H Hermansjah;H Hermansjah;Media Warta Digital;Sumatera Utara;Jl. Jend. Ahmad Yani No.35-49 Medan;(061) 4154711;redaksionline@analisadaily.com;www.analisadaily.com;Terverifikasi Administratif dan Faktual;2020-12-14
228;radarkudus.jawapos.com;Siber;IDA NOR LAYLA;IDA NOR LAYLA;Kudus Intermedia Digital;Jawa Tengah;Jalan Lingkar Utara No. 17 Desa Bacin, Kecamatan Bae;0291-437882;radarkudus@hotmail.com;"www.radarkudus.co.id; www.radarkudus.jawapos.com";Terverifikasi Administratif dan Faktual;2020-12-14
229;medanposonline.com;Siber;Rifki Warisan;Farianda Putra Sinik;Sinar Agung Berdikari;Sumatera Utara;Jl. Mayjen Siswomihardjo d/h Jl. Perdana No. 107-111, Medan;(061) 4522704;medanpos.ol@gmail.com;www.medanposonline.com;Terverifikasi Administratif dan Faktual;2020-12-14
230;radarlombok.co.id;Siber;Tony Edy Wibowo;Tony Edy Wibowo;Selaparang Media Pratama;Nusa Tenggara Barat;Jalan Pelikan No. 3 Pajang Mataram;0370 7852737;onlineradarlombok@gmail.com;www.radarlombok.co.id;Terverifikasi Administratif dan Faktual;2020-12-14
231;radarsukabumi.com;Siber;Rahmat Yanadi;Rahmat Yanadi;Sukabumi Ekspres Media;Jawa Barat;Jalan Selabintana KM 3,5 Panjalu;0266-219204;radarskm.com@gmail.com;radarsukabumi.com;Terverifikasi Administratif dan Faktual;2020-12-14
232;transkepri.com;Siber;RINALDY SAMJAYA;RINALDY SAMJAYA;TRANS KEPRI MEDIA;Kepulauan Riau;Ruko Cahaya Garden, Blok D 19, Kelurahan Sadai, Kecamatan Bengkong, Batam Provinsi Kepulauan Riau;0895712227333;transkepri@gmail.com;www.transkepri.com;Terverifikasi Administratif;2020-12-14
233;grapena.com;Siber;Milhan Rusli;Milhan Rusli;Graha Pena Mandira;Kalimantan Selatan;Jalan Gerilya, Kertak Hanyar Komplek Bumi Wahyu Utama 6 Blok E12 Kabupaten Banjar, Kalimantan Selatan, Indonesia.;085387261385;redaksigrapena@gmail.com;grapena.com;Terverifikasi Administratif;2020-12-14
234;globalcybernews.com;Siber;NGATIRIN;NGATIRIN;Global Cyber News;Sumatera Utara;JL. MAKMUR DUSUN V DAHLIA/ DAHLIA 35;081396278560;doliimam.di@gmail.com;https://globalcybernews.com/;Terverifikasi Administratif;2020-12-07
235;Harian DI's Way;Cetak;Tomy C. Gutomo;Tomy C. Gutomo;DISWAY RUMAH BERITA;Jawa Timur;Jalan Walikota Mustajab 76;031 5466611;redaksi@disway.id;harian.disway.id;Terverifikasi Administratif dan Faktual;2020-12-07
236;Sumbar Post;Cetak;ALMADI;ALMADI;MEDIA SUMBAR POST;Sumatera Barat;JALAN LANSANO NO 1 LOLONG BELANTI PADANG;075140652;redaksi_xpos@yahoo.co.id;www.sumbarpost.com;Terverifikasi Administratif;2020-12-07
237;Pakuan Raya (PAKAR);Cetak;David Rizar Nugroho;David Rizar Nugroho;Pakar Inti Corpora;Jawa Barat;Jl. Raya Pajajaran No. 1 B, Bogor 16153;0251- 8394424;harianpakuanraya@yahoo.com;www.pakuanraya.com;Terverifikasi Administratif;2020-12-07
238;pijarnews.com;Siber;DIAN MUHTADIAH HAMNA;DIAN MUHTADIAH HAMNA;PIJAR MEDIA GLOBAL;Sulawesi Selatan;Jl. Andi Sololipu, No 19, Kel. Ujung Sabbang, Kec. Ujung, Kota Parepare. Sulawesi Selatan;(0421) 2921139 / 0811 453 2016;redaksi@pijarnews.com;https://www.pijarnews.com;Terverifikasi Administratif;2020-12-07
239;Radar Mandalika;Cetak;ACHMAD SUKISMAN AZMY;ACHMAD SUKISMAN AZMY;MANDALIKA MEDIA PRATAMA;Nusa Tenggara Barat;Jl. Sultan Hasanudin No. 27 Praya Lombok Tengah;(0370) 653205;radarmandalika@gmail.com;Radarmandalika.id;Terverifikasi Administratif dan Faktual;2020-12-07
240;mediasumutku.com;Siber;Puji Santoso;Puji Santoso;Media Sumutku Indonesia;Sumatera Utara;Jl. Padang Golf Komplek CBD Polonia Blok F No. 97-98;085360998585;mediasumutku@gmail.com;www.mediasumutku.com;Terverifikasi Administratif dan Faktual;2020-12-07
241;radarpekalongan.co.id;Siber;Dony Widyo Haryanto;Dony Widyo Haryanto;Wahana Multimedia Pekalongan;Jawa Tengah;Jl Binagriya Raya B.1 No 9 Kota Pekalongan;0285-432234;radarpekalonganonline@gmail.com;www.radarpekalongan.co.id;Terverifikasi Administratif dan Faktual;2020-12-07
242;mediaapakabar.com;Siber;Muhammad Arifin;Muhammad Arifin;Berkah Gultom;Sumatera Utara;Jalan T Amir Hamzah No 65, Medan, Sumatera Utara;0822 7600 8437;info@mediaapakabar.com, mediaapakabar@gmail.com;www.mediaapakabar.com;Terverifikasi Administratif dan Faktual;2020-12-07
243;Majalah Intrust;Cetak;NOFRIALDI NOFI SASTERA;NOFRIALDI NOFI SASTERA;Media Jembatan Merah Putih;Sumatera Barat;JL. GANG ATLAS 2 NO.44 KEL. ULAK KARANG UTARA KEC. PADANG UTARA, KOTA PADANG PROV SUMATERA BARAT;085263919474;redaksi.intrust@gmail.com;majalahintrust.com;Terverifikasi Administratif dan Faktual;2020-12-07
244;eksisnews.com;Siber;AMIR SYARIFUDDIN;AMIR SYARIFUDDIN;PUTRA MEDIA EKSIS;Sumatera Utara;JL. BILAL UJUNG NO. 214 KEL. PULO BRAYAN DARAT I KEC. MEDAN TIMUR;08126374216;dataeksis@gmail.com;https://eksisnews.com;Terverifikasi Administratif;2020-12-07
245;KORANSATU.ID;Siber;KADIRAH;KADIRAH;KORAN SATU UTAMA;DKI Jakarta;ALDEOZ BUILDING CENTER FLOOR 6, jl Warung Jati Barat No.39 Kalibata, Pancoran, Jakarta Selatan;021 27534457, 021 27534458;koransatu@yahoo.com;KORANSATU.ID;Terverifikasi Administratif dan Faktual;2020-11-30
246;Haluansumatera.com;Siber;Kurnati Abdullah;Kurnati abdullah;Musi Intermedia Grup;Sumatera Selatan;Jln.Madang No.1911 Rt. 29 Sekip Jaya Palembang;082375088884;haluansumatera@gmail.com;https://haluansumatera.com/;Terverifikasi Administratif dan Faktual;2020-11-30
247;Radar Bangsa;Cetak;AGUNG BUDIARTO;AHMAD ZAINAL MUSHLIH;PT MEDIA RADAR BANGSA;Jawa Timur;Perum Griya Permata Insani Blok D-1 Nomor 35. Kematan Tikung;081217614828 - 082334983388;radarbangsa89@yahoo.com;RadarBangsa.co.id;Terverifikasi Administratif;2020-11-30
248;Madutv Tulungagung;Televisi;YATIMUL AINUN;YATIMUL AINUN;MADINULULUM MEDIA TELEVISI UMMAT;Jawa Timur;Jln.Sukomakmur 73 Campurdarat Tulungagung;0355-533333;madutvtulungagung@gmail.com;www.madu.tv;Terverifikasi Administratif dan Faktual;2020-11-30
249;Intens News;Cetak;Muhamad Nasir;Muhammad Uzair;Multimedia Cahaya Nusantara;Sumatera Selatan;Jalan Tegal Binangun RT. 28 Ruko No 2;07115541300;multimediacahaya1@gmail.com;;Terverifikasi Administratif dan Faktual;2020-11-30
250;Akurat.co;Siber;Rizal Maulana Malik;Rizal Maulana Malik;Akurat Sentra Media;DKI Jakarta;Jl. Tentara Pelajar Rukan Permata Senayan Blok A 15;021 57941110;akuratco@gmail.com;https://akurat.co/;Terverifikasi Administratif dan Faktual;2020-11-30
251;ekspresnews.com;Siber;ABDI MASA;ABDI MASA;INDO RAYA EKSPRES;Sumatera Barat;Jati Parak Salai No 8C;082171293247;news.ekspres@gmail.com;www.ekspresnews.com;Terverifikasi Administratif dan Faktual;2020-11-30
252;Kabarsumbar.com;Siber;Adrian Tuswandi;Adrian Tuswandi;Treat Media Teknologi;Sumatera Barat;Jalan Pontianak Nomor I/10, ulak karang selatan, kota Padang, Sumatera Barat, 25134;082285976332;redaksi@kabarsumbar.com;www.kabarsumbar.com;Terverifikasi Administratif dan Faktual;2020-11-30
253;Detak-Palembang.com;Siber;Ahmad Ghozali Mukti;Ahmad Ghozali Mukti;PENAMAS CIPTA MEDIATAMA;Sumatera Selatan;Jl. Tj. Sari II, Bukit Sangkal, Kalidoni, Kota Palembang, Sumatera Selatan 30961, 0812-7255-7639;0812-7255-7639;redaksidetakplg@gmail.com;DETAK-PALEMBANG.COM;Terverifikasi Administratif dan Faktual;2020-11-30
254;mimbarumum.co.id;Siber;Jalaluddin;Ngatirin;Mimbar Maju Sejahtera;Sumatera Utara;Jalan Pancasila No.2 (Simpang Jalan Denai) Kelurahan Tegalsari mandala III, Kecamatan Medan Denai, Kota Medan, Sumatera Utara;061-7330737;rinmas125@gmail.com;www.mimbarumum.co.id;Terverifikasi Administratif dan Faktual;2020-11-30
255;Palpos.id;Siber;Dian Fauzen;Bambang Samudera;Palpos Media Online;Sumatera Selatan;Jl Kol H Burlian No 773/2 Gedung Palembang Pos Km 6,5 Kelurahan Karya Baru Kecamatan Alang-Alang Lebar Palembang Sumatera Selatan;0711 416211;palpos.id@gmail.com;palpos.id;Terverifikasi Administratif dan Faktual;2020-11-30
256;scientia.id;Siber;AL IMRAN;AL IMRAN;SCIENTIA INSAN CITA INDONESIA;Sumatera Barat;Perum Griya Elok Residence Blok P. 20, Kelurahan Batung Taba Nan XX, Kecamatan Lubuk Begalung, Kota Padang;081 1660 4440;scientiaku@gmail.com;www.scientia.id;Terverifikasi Administratif dan Faktual;2020-11-30
257;bentengsumbar.com;Siber;ZAMRI YAHYA, SHI;ZAMRI YAHYA, SHI;BENTENG SUMBAR PERSADA;Sumatera Barat;Jalan Piai Tangah RT.001/RW.001 Kelurahan Piai Tangah Kecamatan Pauh Kota Padang Sumatera Barat Kode Pos 25162 Indonesia.;0751-779490;bentengsumbar@gmail.com;https://www.bentengsumbar.com/;Terverifikasi Administratif dan Faktual;2020-11-30
258;harian vokal;Cetak;DHENI KURNIA;DHENI KURNIA;HARIAN VOKAL MEDIA;Riau;JL. ARIFIN AHMAD NO .148 A KEL SIDOMULYO TIMUR KEC.MARPOYAN DAMAI, KOTA PEKANBARU, RIAU;08127684560;harianvokal99@gmail.com;;Terverifikasi Administratif dan Faktual;2020-11-30
259;mentawaikita.com;Siber;Yuafriza;Yuafriza;Kreasindo Mediata Mentawai;Sumatera Barat;Jl. Gng Semeru IV No 3, Gunung Pangilun, Kec. Padang Utara, Kota Padang, Sumatera Barat;(0751) 37121;mentawaikita@gmail.com;www.mentawaikita.com;Terverifikasi Administratif dan Faktual;2020-11-30
260;tobasatu.com;Siber;Hafnida Dalimunthe;Hafnida Dalimunthe;Toba Madia Sejahtera;Sumatera Utara;Jalan SM Raja, Gg.Perhubungan No.21, Medan;08116001333;redaksitobasatu@gmail.com;www.tobasatu.com;Terverifikasi Administratif dan Faktual;2020-11-30
261;Figurnews.com;Siber;YUAMRAN;YUAMRAN;FIGUR ANUGRAH MEDIA;Sumatera Barat;Jl. Bambu No.6 Ujung Gurun, Kelurahan Ujung Gurun, Kec. Padang Barat, Kota Padang - Sumatera Barat;0751-21139, Hp 0821 7225 3180;figurnews18@gmail.com;www.figurnews.com;Terverifikasi Administratif dan Faktual;2020-11-30
262;sukabumiupdate.com;Siber;PURWANTO SETIADI;PURWANTO SETIADI;SAMUDERA MULTIMEDIA PERSADA;Jawa Barat;Jalan Kenari Nomor 20, Kelurahan Selabatu, Kecamatan Cikole, Kota Sukabumi (43114);(0266) 622-1185;sukabumiupdateredaksi@gmail.com;https://sukabumiupdate.com/;Terverifikasi Administratif dan Faktual;2020-11-30
263;SKM GENTA;Cetak;Raja Isyam Aswar;Purnimasari;Genta Marwah Riau;Riau;Gedung Graha Pena, Lantai 8 Ruang 808, Jalan HR Subrantas, Km 10.5 Panam - Pekanbaru;0852 7863 8316;gentariau2019@gmail.com;gentariau2019@gmail.com;Terverifikasi Administratif dan Faktual;2020-11-30
264;minangkabaunews.com;Siber;Nurrahmat;Nurrahmat;Minangkabau Mediatama Mandiri;Sumatera Barat;JL Padang Baru Timur XV No 16 A, Alai Parak Kopi, Padang Utara, Padang, Sumbar 25171;085263352077;timredaksiminangkabaunews@gmail.com;https://minangkabaunews.com;Terverifikasi Administratif dan Faktual;2020-11-30
265;liputansumsel.com;Siber;Aan Sartana;Ishak Nasroni;Liputan Sumsel Media;Sumatera Selatan;Jln. Padat Karya Perum Vina sejahtera II Blok DD 15 A Rt.05/09 Kelurahan Gunung Ibul, Kecamatan Prabumulih Timur, Kota Prabumulih ,Provinsi Sumatera Selatan;0852-6875-1839 / 0852-7300-900;redaksikabarsumsel@gmail.com;liputansumsel.com;Terverifikasi Administratif dan Faktual;2020-11-30
266;GERBANG BANTEN;Cetak;Wisnu Bangun;Wisnu Bangun;BANGUN BANTEN AKTUAL;Banten;Jl. Kalodran Lipatik Kel. Pager Agung Kec. Walantaka, Kota Serang - Provinsi Banten;0254-7915353;redaksi.gerbangbanten@gmail.com;https://gerbangbanten.co.id/;Terverifikasi Administratif dan Faktual;2020-11-30
267;Haluanbanten.co.id;Siber;Lesman Bangun;Lesman Bangun;Haluan Bangun Banten;Banten;Jalan Kalodran Lipatik Kel Pager Agung Kec Walantaka Kota Serang Provinsi Banten;081382924774/085365030232;redaksi_haluanbanten@yahoo.co.id;www.haluanbanten.co.id;Terverifikasi Administratif dan Faktual;2020-11-30
268;pontas.id;Siber;Pahala Simanjuntak;Pahala Simanjuntak;Mediacitra Maju Indonesia;DKI Jakarta;Jl. Kayumas Selatan no. 77, Pulogadung Jakarta Timur;0811121676;pontasid@gmail.com;www.pontas.id;Terverifikasi Administratif dan Faktual;2020-11-30
269;asarpua.com;Siber;TANIA DEPARI;TANIA DEPARI;ASARPUA SUKSES MEDIA;Sumatera Utara;Jalan Bunga Sedap Malam XV No. 8 Medan Selayang, Medan;0812-6025-413;taniadepari202020@gmail.com;asarpua.com;Terverifikasi Administratif dan Faktual;2020-11-30
270;Harian Prabumulih Pos;Cetak;Ade Rosad;Ade Rosad;Citra Prabu Media;Sumatera Selatan;Jl Jendral Sudirman No 172 Kelurahan Patih Galung Kecamatan Prabumulih Barat, Kota Prabumulih;0713-322096;aderosad@yahoo.com;www.prabumulihpos.co.id;Terverifikasi Administratif dan Faktual;2020-11-30
271;Cirebonbagus.id;Siber;Dudung Abdul Hakim;Dudung Abdul Hakim;ARIF BAGUS TRANSMEDIA;Jawa Barat;Komp. Bumi Linggahara No.3D, Jl. Brigjend Dharsono, Kertawinangun, Kedawung, Kab.Cirebon, Prov. Jawa Barat;081324542922;cirebonbagusdotid@gmail.com;cirebonbagus.id;Terverifikasi Administratif dan Faktual;2020-11-30
272;gpriority.co.id;Siber;Lukman A. Salendra;Lukman A. Salendra;Gemilang Larasati Nusantara;DKI Jakarta;Jalan Howitzer Raya No,46, Sumur Batu,Kemayoran, Jakarta Pusat;+622121476868;info@gpriority.co.id;www.gpriority.co.id;Terverifikasi Administratif dan Faktual;2020-11-30
273;radarjombang.jawapos.com;Siber;SOFYAN HENDRA FATKHUROHMAN;SOFYAN HENDRA FATKHUROHMAN;JOMBANG INTERMEDIA PERS;Jawa Timur;JL AIRLANGGA NO 10 JOMBANG;0321-875137;radar.jombang@jawapos.com;www.radarjombang.jawapos.com;Terverifikasi Administratif dan Faktual;2020-11-30
274;padangmedia.com;Siber;Nita Indrawati;Nita Indrawati;Padang Media Press;Sumatera Barat;Jalan Legislatif no 39 Komp DPRD Lapai Nanggalo Padang;0751 7051822;pimredpmed@gmail.com;www.padangmedia.com;Terverifikasi Administratif dan Faktual;2020-11-30
275;radarkediri.id;Siber;MOCH. SUBECHI NURCAHYO;MOCH. SUBECHI NURCAHYO;KEDIRI INTERMEDIA PERS;Jawa Timur;JL. RAYA GAMPENG 45;(0354)681320;radarkediri.online@gmail.com;radarkediri.id;Terverifikasi Administratif dan Faktual;2020-11-30
276;radarmojokerto.jawapos.com;Siber;MUKAS KULUKI;MUKAS KULUKI;Mojokerto Intermedia Pers;Jawa Timur;Jl. R A Basuni 96 Jampirogo Sooko Mojokerto;0321322444;radar_mojokerto@yahoo.com;https://radarmojokerto.jawapos.com/;Terverifikasi Administratif dan Faktual;2020-11-30
277;Radar Lombok;Cetak;TONY EDY WIBOWO;TONY EDY WIBOWO;Selaparang Media Pratama;Nusa Tenggara Barat;JALAN PELIKAN NO. 3 PAJANG MATARAM;0370 7852737;radarlombok25@gmail.com;www.radarlombok.co.id;Terverifikasi Administratif dan Faktual;2020-11-30
278;topsumbar.co.id;Siber;SITI RAHMADANI HANIFAH;SITI RAHMADANI HANIFAH;UPDATE TOP MEDIA;Sumatera Barat;Perumahan Gunung Sarik Permai Blok F5 RT.05 RW.02 Kel. Gunung Sarik, Kec. Kuranji Kota Padang;07518962339 / 082381558076;topsumbar@gmail.com;Topsumbar.co.id;Terverifikasi Administratif dan Faktual;2020-11-30
279;Lintasmedan.com;Siber;T. Nico Adrian;T. Nico Adrian;Sejati Lintas Info;Sumatera Utara;Jln Eka Rasmi No. 74 Lingk VII, Medan Johor;081361673872;irmayoune@yahoo.com;www.Lintasmedan.com;Terverifikasi Administratif dan Faktual;2020-11-30
280;Panturapost.com;Siber;Muhammad Abduh;Muhammad Abduh;Pantura Siber Media;Jawa Tengah;Jalan Raya Talang No. 375, Kabupaten Tegal;085226777699;redaksipanturapost@gmail.com;www.panturapost.com;Terverifikasi Administratif dan Faktual;2020-11-20
281;Radar Kudus;Cetak;Ida Norlayla;Ida Norlayla;Kudus Intermedia Pers;Jawa Tengah;Jl. Lingkar Utara No. 17 Bacin Kudus;0291-434020;radarkudus@hotmail.com;https://radarkudus.jawapos.com/ dan http://radarkudus.co.id/;Terverifikasi Administratif dan Faktual;2020-11-20
282;Nawacitapost.com;Siber;Ariful Hakim;Ariful Hakim;Media Nawacita Indonesia;Jawa Barat;Ruko Duta Permai Rhema Building, Lt. 3 No. 2 Jl. Raya Kalimalang, Jaka Permai, Bekasi Jawa Barat 17145 Indonesia.;021 - 89469011;nawacitamedia@yahoo.com;www.nawacitapost.com;Terverifikasi Administratif dan Faktual;2020-11-20
283;tribunjogja.com;Siber;Ribut Raharjo;Ribut Raharjo;Media Tribun Yogya;DI Yogyakarta;Jl. Jend. Sudirman No.52 A, Kotabaru, Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224;0274557687;tribunjogjadigital@gmail.com;jogja.tribunnews.com;Terverifikasi Administratif dan Faktual;2020-11-20
284;biem.co;Siber;Ega Jalaludin;Ega Jalaludin;Banten Muda Kreasindo;Banten;Komplek KPKN Jl. Karya Bhakti 2A no. 99 Ciceri Kota Serang;0813-8033-3400/02547924330;redaksibiem@gmail.com;www.biem.co;Terverifikasi Administratif dan Faktual;2020-11-20
285;satubanten.com;Siber;Mohamad Hopip;Mohamad Hopip;BANTENESIA BERITA UTAMA;Banten;Lingk. Cengkok Rt. 005/003, Kel, Banjaragung, Kec. Cipocok Jaya, Kota Serang, Banten 42122;082169120887;koransatubanten@gmail.com;www.satubanten.com;Terverifikasi Administratif dan Faktual;2020-11-20
286;Koran Mimbar Umum;Cetak;Jalaluddin;Jalaluddin;Koran Mimbar Umum;Sumatera Utara;Jalan Pancasila No.2 simpang Jalan Denai, Kelurahan Tegalsari Mandala III, Kec. Medan Denai, Kota Medan, Prov. Sumatera Utara;061-7330737;rinla_gusti@yahoo.com;www.mimbarurumum.co.id;Terverifikasi Administratif dan Faktual;2020-11-20
287;inimedan.com;Siber;A R I A D I;A R I A D I;MEDIA KELUARGA MANDIRI;Sumatera Utara;Jln.Marelan I Pasar IV Barat Kelurahan Terjun No.10 Lk-VII Medan Marelan-20256;061.80027612;inimedancom@gmail.com;www.inimedan.com;Terverifikasi Administratif dan Faktual;2020-11-20
288;Urbanasia.com;Siber;Ken Yunita;Ken Yunita;KAI Trimedia Investama;DKI Jakarta;Menara Batavia Lt. 12A Jl. K.H. Mas Mansyur No. Kav. 126, Karet Tengsin, Kec. Tanah Abang;(021) 5722354;admin@urbanasia.com;www.urbanasia.com;Terverifikasi Administratif dan Faktual;2020-11-20
289;Radar Pekalongan;Cetak;Widodo Lukito;Widodo Lukito;Wahana Semesta Pekalongan;Jawa Tengah;Jl Binagriya Raya B. 1 No 9 Kelurahan Bumirejo Kecamatan Pekalongan Barat Kota Pekalongan;0285-432234;asepradar@gmail.com;www.radarpekalongan.co.id;Terverifikasi Administratif dan Faktual;2020-11-20
290;radartegal.com;Siber;Zuhlifar Arrisandy;Zuhlifar Arrisandy;Wahana Semesta Multimedia Tegal;Jawa Tengah;Jl. Perintis Kemerdekaan No. 32 RT 10 RW 06 Panggung, Tegal Timur Kota Tegal;0283 4532544 - 340004;radartegalnews@gmail.com;https://radartegal.com/;Terverifikasi Administratif dan Faktual;2020-11-20
291;persepsi.co.id;Siber;Moh.Hopip;Moh.Hopip;Persepsi Karya Cipta;Banten;Jl.Kalodran Lipatik, Kelurahan Pageragung, Kecamatan Walantaka, Kota Serang Banten;08528749014;persepsiredaksi@gmail.com;www.persepsi.co.id;Terverifikasi Administratif dan Faktual;2020-11-20
292;radarsolo.id;Siber;NUR WAHID;NUR WAHID;Surakarta Intermedia Pers;Jawa Tengah;Jl. Kebangkitan Nasional No.37 Sriwedari, Laweyan;0271 - 7653106;radarsolo@gmail.com;radarsolo.id;Terverifikasi Administratif dan Faktual;2020-11-20
293;sigijateng.id;Siber;ARIS SYAEFUDIN ZUHRI;ARIS SYAEFUDIN ZUHRI;SIGI MEDIA UTAMA;Jawa Tengah;Jl. Bima 2 No 1 Pendrikan Kidul;081228398422;sigijateng@gmail.com;;Terverifikasi Administratif;2020-11-20
294;Radar Sumbawa;Cetak;RUDI HIDAYAT;RUDI HIDAYAT;TAMBORA MEDIA PRATAMA;Nusa Tenggara Barat;JLN BY PASS KM 3 KARANG DIMA KEC.LABUAN BADAS SUMBAWA BESAR;085239215344;Radarsumbawa03@gmail.com;radarsumbawa.id;Terverifikasi Administratif;2020-11-20
295;beritaini.com;Siber;Mursalim Majid;Mursalim Majid;Beritaini Media Internusa;Sulawesi Barat;Jl. Abd Malik Pettana Endeng, Korongana Puri Mutiara II Blok A5 No. 10;085210996066;redaksi@beritaini.com;https://beritaini.com;Terverifikasi Administratif;2020-11-18
296;orbitdigitaldaily.com;Siber;M. Safii Sitorus;M. Safii Sitorus;Bumi Jurnalis Orbit;Sumatera Utara;Jalan Asrama, Gedung Bumi Jurnalis Orbit, Komplek Bumi Asri Blok C No. 61-62 Medan;(061) 8449268 - 8449268;redaksiorbitmedan@gmail.com;orbitdigitaldaily.com;Terverifikasi Administratif dan Faktual;2020-11-18
297;Mediator;Cetak;TASMAN;TASMAN;Mediator Jambi Intermedia;Jambi;Jl. H.M.O Bafadhal No 41 Rt.02 Kel.Cempaka Putih Kec. Jelutung Kota Jambi;+6285832077949;skh.mediator@yahoo.com;https://www.mediatorjambi.com/;Terverifikasi Administratif;2020-11-18
298;Kabarrakyat.id;Siber;Shodiq Syarif;Shodiq Syarif;Kabar Rakyat Sentosa;Jawa Timur;Perum. Pakis Kalirejo C18-22 Kabat Kabupaten Banyuwangi - Jawa Timur;0812-3456-5895;redkabarrakyat@gmail.com;https://kabarrakyat.id/;Terverifikasi Administratif dan Faktual;2020-11-18
299;kliksumut.com;Siber;Puji Santoso;Puji Santoso;Klik Media Komunikasi;Sumatera Utara;Jalan Garu VI Kakaktua Perumahan Citra Harjosari B1 Kelurahan Harjosari I Kecamatan Medan Amplas;08116561555;www.kliksumut@gmail.com;www.kliksumut.com;Terverifikasi Administratif dan Faktual;2020-11-18
300;realitasonline.id;Siber;Drs H Agus Saparudin Lubis;Drs H Agus Saparudin Lubis;Media Realitas Siber;Sumatera Utara;Jalan Brigjen Katamso 43 Medan;081269864467;realitasmailbox@gmail.com;https://realitasonline.id/;Terverifikasi Administratif dan Faktual;2020-11-18
301;detakbanten.com;Siber;AHMAD EKO NURSANTO;AHMAD EKO NURSANTO;PENAMAS CIPTA MANDIRI;Banten;Puri PamulangJalan Matahari V Blok H-2 No. 16 Kel. Bambu ApusKec. Pamulang;081287071898;redaksi.detakbanten@gmail.com;www.detakbanten.com;Terverifikasi Administratif dan Faktual;2020-11-18
302;ayosemarang.com;Siber;Roberto Arieza Martin Purba;Arri Widiarto;AYO MEDIA SEMARANG;Jawa Tengah;Jalan Erlangga Tengah VII No. 17, Pleburan, Kecamatan Semarang Selatan, Kota Semarang, Jawa Tengah 50241Telepon: (024) 76585185;+62 813-2661-8427/ (024) 76585;semarang@ayomedia.com;https://www.ayosemarang.com/;Terverifikasi Administratif dan Faktual;2020-11-18
303;beritasatu.com;Siber;Primus Dorimulu;Anselmus Bata;Jakarta Globe Media;DKI Jakarta;BeritaSatu Plaza Jalan Gatot Subroto Kav 35-36;0811-988-763;anselmusbata@gmail.com;beritasatu.com;Terverifikasi Administratif dan Faktual;2020-11-18
304;jakartanews.id;Siber;Naek Pangaribuan;Naek Pangaribuan;Jakarta News Pers;DKI Jakarta;Jl. Tanjung Barat Selatan No. 119 RT 02 RW 02, Jakarta Selatan, 12630;02178838988, 08159378588;jakartanewspers@gmail.com;https://jakartanews.id/;Terverifikasi Administratif dan Faktual;2020-11-18
305;suararantau.com;Siber;DEFRI MULYADI;DEFRI MULYADI;Suara Rantau Mandiri;Sumatera Barat;Jln Indarung No 10;0813 74808982;suarantau@gmail.com;suararantau.com;Terverifikasi Administratif;2020-11-18
306;Disway Berau Kaltara;Cetak;Arie Pramana Putra;Arie Pramana Putra;DUTA KALIMANTAN PRESS;Kalimantan Timur;Jl. Durian III, RT 07, Kecamatan Tanjung Redeb;081350385307 / 0811581969;Diswayberaukaltara@gmail.com;;Terverifikasi Administratif;2020-11-10
307;Berau Post;Cetak;Firman Wahyudi;Yudhi Perdana;PT. Duta Berau Lintasmedia;Kalimantan Timur;Jl. Bukit Ria RT. 10 No. 3 Tanjung Redeb;0554 - 2027252;beritabepe@gmail.com;www.berau.prokal.co;Terverifikasi Administratif;2020-11-10
308;luarbiasa.id;Siber;Martunas Situmeang;Martunas Situmeang;Bintana Terbaru Media;Kepulauan Riau;Komplek Pinlang Mas No.15-16 Lt 1-2-3 JL.DI Panjaitan-Batu IX Tanjungpinang;+62 852-6405-0123;bintanatmedia@gmail.com;https://luarbiasa.id/;Terverifikasi Administratif;2020-11-10
309;onlinebengkulu.com;Siber;RIKI SUSANTO;RIKI SUSANTO;Media Doa Lihani Pakar;Bengkulu;Jalan Kapten Tandean Km 6,5, No 48, RT/RW 005/002 Kel. Jembatan Kecil, Kec. Singgaran Pati Kota Bengkulu;081278601960;mediadoalihanipakar20@gmail.com;https://onlinebengkulu.com/redaksi-2/;Terverifikasi Administratif;2020-11-10
310;Harian Jambi Independent;Cetak;Munawir MH;Munawir MH;PT. Jambi Independent Press;Jambi;Graha Pena Jambi. Jl. Jendral Sudirman No 100 Thehok Kota Jambi;(0741) 35272;jambi_independent_cetak@gmail.com;;Terverifikasi Administratif;2020-11-08
