"Bab";"Topik";"Pasal";"Deskripsi"
"Bab VII";"Kejahatan Yang Membahayakan Keamanan Umum Bagi Orang Atau Barang";"Pasal 199";"Barang siapa karena kesalahan (kealpaannya) menyebabkan kapal tenggelam atau 
terdampar, dihancurkan, tidak dapat dipakai atau dirusak, diancam:
1. dengan pidana penjara paling lama sembilan hulan atau pidana kurungan paling 
lama enam bulan atau pidana denda paling banyak empat ribu lima ratus rupiah, 
jika karcna perbuatan itu timbul bahaya bagi orang lain;
2. dengan pidana penjara paling lama satu tahun empat bulan atau pidana kurungan 
paling lama satu tahun, jika karena perbuatan itu mengakibatkan orang mati.
"
"Bab VII";"Kejahatan Yang Membahayakan Keamanan Umum Bagi Orang Atau Barang";"Pasal 200";"Barang siapa dengan sengaja menghancurkan atau merusak gedung atau bangunan 
diancam: 
1. dengan pidana penjara paling lama dua belas tahun, jika karena perbuatan itu 
timbul bahaya umum bagi barang; 
2. dengan pidana penjara paling lama lima belas tahun, jika karena perbuatan itu 
timbul bahaya bagi nyawa orang lain;
3. dengan pidana penjara seumur hidup atau pidana penjara selama waktu tertentu 
paling lama dua puluh tahun, jika karena perbuatan itu timbul bahaya bagi nyawa 
orang lain dan mengakibatkan orang mati.
"
"Bab VII";"Kejahatan Yang Membahayakan Keamanan Umum Bagi Orang Atau Barang";"Pasal 201";"Barang siapa karena kesalahannya (kealpaannya) menyebabkan gedung atau bangunan 
dihancurkan atau dirusak, diancam:
1. dengan pidana penjara paling lama empat bulan dua minggu atau pidana kurungan 
paling lama tiga bulan atau pidana denda paling banyak empat ribu lima ratus 
rupiah, jika perbuatan itu menimbulkan bahaya umum bagi barang;
2. dengan pidana penjara paling lama sembilan bulan atau pidana kurungan paling 
lama enam bulan atau pidana denda paling banyak empat rihu lima ratus rupiah, 
jika petbuatan itu menimbulkan bahaya bagi nyawa orang; 
3. dengan pidana penjara paling lama satu tahun empat bulan atau pidana kurungan 
paling lama satu tahun jika perbuatan itu mengakibatkan orang mati. 
"
"Bab VII";"Kejahatan Yang Membahayakan Keamanan Umum Bagi Orang Atau Barang";"Pasal 202";"(1) Barang siapa memasukkan barang sesuatu ke dalam sumur, pompa, sumber atau ke 
dalam perlengkapan air minum untuk umum atau untuk dipakai oleh atau 
bersama-sama dengan orang lain, padahal diketahuinya bahwa karena perbuatan itu 
air lalu berbahaya bagi nyawa atau kesehatan orang, diancam dengan pidana 
penjara paling lama lima belas tahun. 
(2) Jika perbuatan itu mengakibatkan orang mati, yang ber- salah diancam dengan 
pidana penjara seumur hidup atau pidana penjara selama waktu tertentu paling 
lama dua puluh tahun.
"
"Bab VII";"Kejahatan Yang Membahayakan Keamanan Umum Bagi Orang Atau Barang";"Pasal 203";"(1) Barang siapa karena kesalahannya (kealpaannya) menyebabkan bahwa barang 
sesuatu dimasukkan ke dalam sumur, pompa, sumber atau ke dalam perlengkapan air 
minum untuk umum atau untuk dipakai oleh, atau bersama-sama dengan orang lain, 
sehingga karena perbuatan itu air lalu berbahaya bagi nyawa atau kesehatan 
orang, diancam dengan pidana penjara paling lama sembilan bulan atau pidana 
kurungan paling lama enam bulan atau pidana denda paling banyak empat ribu lima 
ratus rupiah. 
(2) Jika perbuatan itu mengakibatkan orang mati, yang bersalah diancam dengan 
pidana penjara paling lama satu tahun empat bulan atau pidana kurungan paling 
lama satu tahun.
"
"Bab VII";"Kejahatan Yang Membahayakan Keamanan Umum Bagi Orang Atau Barang";"Pasal 204";"(1) Barang siapa menjual, menawarkan, menyerahkan atau membagi-bagikan barang 
yang diketahuinya membahayakan nyawa atau kesehatan orang, padahal sifat; 
berhahaya itu tidak diberi tahu, diancam dengan pidana penjara paling lama lima 
belas tahun.
(2) Jika perbuatan itu mengakihatkan orang mati, yang bersalah diancam dengan 
pidana penjara seumur hidup atau pidana penjara selama waktu tertentu paling 
lama dua puluh tahun.
"
"Bab VII";"Kejahatan Yang Membahayakan Keamanan Umum Bagi Orang Atau Barang";"Pasal 205";"(1) Barang siapa karena kesalahannya (kealpaannya) menyebabkan barang-barang 
yang berbahaya bagi nyawa atau kesehatan orang, dijual, diserahkan atau di 
bagi-bagikan tanpa diketahui sifat berbahayanya oleh yang membeli atau yang 
memperoleh, diancam dengan pidana penjara paling lama sembilan bulan atau pidana 
kurungan paling lama enam bulan atau pidana denda paling banyak empat ribu lima 
ratus rupiah.
(2) Jika perbuatan itu mengakibatkan orang mati, yang bersalah diancam dengan 
pidana penjara paling lama satu tahun empat bulan atau pidana kurungan paling 
lama satu tahun.
(3) Barang-barang itu dapat disita.
"
"Bab VII";"Kejahatan Yang Membahayakan Keamanan Umum Bagi Orang Atau Barang";"Pasal 206";"(1) Dalam hal pemidanaan karena salah satu kejahatan berdasarkan bab ini, yang 
bersalah dapat dilarang menjalankan pencariannya ketika melakukan kejahatan 
tersebut.
(2) Dalam hal pemidahaan berdasarkah salah satu kejahatan dalam pasal 204 dan 
205, hakim dapat memerintahkan supaya putusan diumumkan
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 207";"Barang siapa dengan sengaja di muka umum dengan lisan atau tulisan menghina 
suatu penguasa atau hadan umum yang ada di Indonesia, diancam dengan pidana 
penjara paling lama satu tahun enam bulan atau pidana denda paling banyak empat 
ribu lima ratus rupiah. 
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 208";"(1) Barang siapa menyiarkan, mempertunjukkan atau menempelkan di muka umum suatu 
tulisan atau lukisan yang memuat penghinaan terhadap penguasa atau badan umum 
yang ada di Indonesia dengan maksud supaya isi yang menghina itu diketahui atau 
lebih diketahui oleh umum, diancam dengan pidana penjara paling lama empat bulan 
atau pidana denda paling banyak empat ribu lima ratus rupiah.
(2) Jika yang bersalah melakukan kejahatan tersebut dalam pencariannya dan 
ketika itu belum lewat dua tahun sejak adanya pemidanaan yang menjadi tetap 
karena kejahatan semacam itu juga, maka yang bersangkutan dapat dilarang 
menjalankan pencarian tersebut. 
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 209";"(1) Diancam dengan pidana penjara paling lama dua tahun delapan bulan atau 
pidana denda paling banyak empat ribu lima ratus rupiah: 
1. barang siapa memberi atau menjanjikan sesuatu kepada seorang pejabat dengan 
maksud menggerakkannya untuk berbuat atau tidak berbuat sesuatu dalam jabatannya 
yang bertentangan dengan kewajibannya;
2. barang siapa memberi sesuatu kepada seorang pejabat karena atau berhubung 
dengan sesuatu yang bertentangan dengan kewajiban, dilakukan atau tidak 
dilakukan dalam jabatannya. Pencabutan hak tersebut dalam pasal 35 No. 1- 4 
dapat dijatuhkan.
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 210";"(1) Diancam dengan pidana penjara paling lama tujuh tahun: 
1. barang siapa memberi atau menjanjikan sesuatu kepada seorang hakim dengan 
maksud untuk mempengaruhi putusan tentang perkara yang diserahkan kepadanya 
untuk diadili;
2. barang siapa memberi atau menjanjikan sesuatu kepada seorang yang menurut 
ketentuan undang-undang ditentukan menjadi penasihat atau adviseur untuk 
menghadiri sidang atau pengadilan, dengan maksud untuk mempengaruhi nasihat atau 
pendapat yang akan diherikan berhubung dengan perkara yang diserahkan kepada 
pengadilan untuk diadili.
(2) Jika pemberian atau janji dilakukan dengan maksud supaya dalam perkara 
pidana dijatuhkan pemidanaan, maka yang bersalah diancam dengan pidana penjara 
paling lama sembilan tahun. 
(3) Pencabutan hak berdasarkan pasal 35 No. 1- 4 dapat dijatuhkan.
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 211";"Barang siapa dengan kekerasan atau ancaman kekerasan memaksa seorang pejabat 
untuk melakukan perbuatan jabatan atau untuk tidak melakukan perbuatan jabatan 
yang sah, diancam dengan pidana penjara paling lama empat tahun.
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 212";"Barang siapa dengan kekerasan atau ancaman kekerasan melawan seorang pejabat 
yang sedang menjalankan tugas yang sah, atau orang yang menurut kewajiban 
undang-undang atau atas permintaan pejabat memberi pertolongan kepadanya, 
diancam karena melawan pejabat, dengan pidana penjara paling lama satu tahun 
empat bulan atau pidana denda paling banyak empat ribu lima ratus rupiah.
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 213";"Paksaan dan perlawanan berdasarkan pasal 211 dan 212 diancam:
1. dengan pidana penjara paling lama lima tahun, jika kejahatan atau perbuatan 
lainnya ketika itu mengakibatkan luka-luka;
2. dengan pidana penjara paling lama delapan tahun enam bulan, jika 
mengakibatkan luka-luka berat; 
3. dengan pidana penjara paling lama dua belas tahun jika mengakibatkan orang 
mati.
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 214";"(1) Paksaan dan perlawanan berdasarkan pasal 211 dan 212 jika dilakukan oleh dua 
orang atau lehih dengan bersekutu, diancam dengan pidana penjara paling lama 
tujuh tahun.
(2)Yang bersalah dikenakan: 
1. pidana penjara paling lama delapan tahun enam bulan, jika kejahatan atau 
perbuatan lainnya ketika itu mengakibatkan luka-luka; 
2. pidana penjara paling lama dua belas tahun, jika mengakibatkan luka berat; 
3. pidana penjara paling lama lima helas tahun, jika mengakibatkan orang mati. 
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 215";"Disamakan dengan pejabat dalam pasal 211 - 214:
1. orang yang menurut ketentuan undang-undang terus-menerus atau untuk sementara 
waktu diserahi menjalankan sesuatu jabatan umum;
2. pengurus dan para pegawai yang disumpah serta pekerja-pekerja pada jawatan 
kereta api dan trem untuk lalu lintas umum, di mana pengangkutan dijalankan 
dengan tenaga uap atau mesin lainnya. 
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 216";"(1) Barang siapa dengan sengaja tidak menuruti perintah atau permintaan yang 
dilakukan menurut undang-undang oleh pejabat yang tugasnya mengawasi sesuatu, 
atau oleh pejabat berdasarkan tugasnya, demikian pula yang diberi kuasa untuk 
mengusut atau memeriksa tindak pidana; demikian pula barang siapa dengan sengaja 
mencegah, menghalang-halangi atau menggagalkan tindakan guna menjalankan 
ketentuan undang- undang yang dilakukan oleh salah seorang pejabat tersebut, 
diancam dengan pidana penjara paling lama empat bulan dua minggu atau pidana 
denda puling banyak sembilan ribu rupiah. 
(2) Disamakan dengan pejahat tersebut di atas, setiap orang yang menurut 
ketentuan undang-undang terus-menerus atau untuk sementara waktu diserahi tugas 
menjalankan jabatan umum.
(3) Jika pada waktu melakukan kejahatan belum lewat dua tahun sejak adanya 
pemidanaan yang menjadi tetap karena kejahatan semacam itu juga, maka pidananya 
dapat ditambah sepertiga.
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 217";"Barang siapa menimbulkan kegaduhan dalam sidang pengadilan atau di tempat di 
mana seorang pejabat sedang menjalankan tugasnya yang sah di muka umum, dan 
tidak pergi sesudah diperintah oleh atau atas nama penguasa yang berwenang, 
diancam dengan pidana penjara paling lama tiga minggu atau pidana denda paling 
banyak seribu delapan ratus rupiah.
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 218";"Barang siapa pada waktu rakyat datang berkerumun dengan se- ngaja tidak segera 
pergi setelah diperintah tiga kali oleh atau atas nama penguasa yang berwenang, 
diancam karena ikut serta perkelompokan dengan pidana penjara paling lama empat 
bulan dua minggu atau pidana denda paling banyak sembilan ribu rupiah. 
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 219";"Barang siapa secara melawan hukum merobek, membikin tak dapat dihaca atau 
merusak maklumat yang diumumkan atas nama penguasa yang berwenang atau menurut, 
ketentuan undang-undang, dengan maksud untuk mencegah atau menyukarkan orang 
mengetahui isi maklumat itu, diancam dengan pidana penjara paling lama satu 
bulan dua minggu atau pidana denda paling banyak empat ribu lima ratus rupiah.
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 220";"Barang siapa memberitahukan atau mengadukan bahwa telah dilakukan suatu 
perbuatan pidana, padahal mengetahui bahwa itu tidak dilakukan, diancam dengan 
pidana penjara paling lama satu tahun empat bulan.
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 221";"(1) Diancam dengan pidana penjara paling lama sembilan bulan atau pidana denda 
paling banyak empat rihu lima ratus rupiah:
1.barang siapa dengan sengaja menyembunyikan orang yang melakukan kejahatan atau 
yang dituntut karena kejahatan, atau barang siapa memberi pertolongan kepadanya 
untuk menghindari penyidikan atau penahanan oleh penjahat kehakiman atau 
kepolisian, atau oleh orang lain yang menurut ketentuan undang-undang 
terus-menerus atau untuk sementara waktu diserahi menjalankan jabatan 
kepolisian;
2. barang siapa setelah dilakukan suatu kejahatan dan dengan maksud untuk 
menutupinya, atau untuk menghalang-halangi atau mempersukar penyidikan atau 
penuntutannya, menghancurkan, menghilangkan, menyembunyikan benda-benda terhadap 
mana atau dengan mana kejahatan dilakukan atau bekas-bekas kejahatan lainnya, 
atau menariknya dari pemeriksaan yang dilakukan oleh pejabat kehakiman atau 
kepolisian maupun olsh orang lain, yang menurut ketentuan undang-undang terus- 
menerus atau untuk sementara waktu diserahi menjalankan jabatan kepolisian. 
(2) Aturan di atas tidak berlaku bagi orang yang melakukan perbuatan tersebut 
dengan maksud untuk menghindarkan atau menghalaukan bahaya penuntutan terhadap 
seorang keluarga sedarah atau semenda garis lurus atau dalam garis menyimpang 
derajat kedua atau ketiga, atau terhadap suami/istrinya atau bekas 
suami/istrinya. 
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 222";"Barang siapa dengan sengaja mencegah, menghalang-halangi atau menggagalkan 
pemeriksaan mayat forensik, diancam dengan pidana penjara paling lama sembilan 
bulan atau pidana denda paling banyak empat ribu lima ratus rupiah.
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 223";"Barang siapa dengan sengaja melepaskan atau memberi pertolongan ketika 
meloloskan diri kepada orang yang ditahan atas perintah penguasa umum, atas 
putusan atau ketetapan hakim, diancam dengan pidana penjara paling lama dua 
tahun delapan bulan. 
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 224";"Barang siapa dipanggil sebagai saksi, ahli atau juru bahasa menurut 
undang-undang dengan sengaja tidak memenuhi kewajiban berdasarkan undang-undang 
yang harus dipenuhinya, diancam:
1. dalam perkara pidana, dengan pidana penjara paling lama sembilan bulan;
2. dalam perkara lain, dengan pidana penjara paling lama enam bulan. 
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 225";"Barang siapa dengan sengaja tidak memenuhi perintah undang-undang untuk 
menyerahkan surat-surat yang dianggap palsu atau dipalsukan, atau yang harus 
dipakai untuk dibandingkan dengan surat lain yang dianggap palsu atau dipalsukan 
atau yang kebenarannya disangkal atau tidak diakui, diancam: 
1. dalam perkara pidana, dengan pidana penjara paling lama sembilan bulan;
2. dalam perkara lain, dengan pidana penjara paling lama enam bulan;
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 226";"Barang siapa dinyatakan pailit atau dalam keadaan tak mampu atau sebagai 
suami/istri orang yang pailit dalam perkawinan dengan persatuan harta kekayaan 
atau sebagai pengurus atau komisaris suatu perseroan, perkumpulan atau yayasan 
yang dinyatakan pailit, dan dipanggil berdasarkan ketentuan undang-undang untuk 
memberi keterangan, dengan sengaja tidak hadir tanpa alasan yang sah, atau 
enggan memberi keterangan yang diminta ataupun dengan sengaja memberi keterangan 
yang keliru, diancam dengan pidana penjara paling lama satu tahun empat bulan. 
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 227";"Barang siapa melaksanakan suatu hak, padahal ia mengetahui bahwa dengan putusan 
hakim hak tadi telah dicabut, diancam dengan pidana penjara paling lama sembilan 
bulan atau pidana denda paling banyak sembilan ratus rupiah.
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 228";"Barang siapa dengan sengaja memakai tanda kepangkatan atau melakukan perbuatan 
yang termasuk jabatan yang tidak dijabatnya atau yang ia sementara dihentikan 
daripadanya, diancam dengan pidana penjara paling lama dua tahun atau pidana 
denda paling banyak empat ribu lima ratus rupiah.
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 229";"Barang siapa dengan sengaja memakai tanda kebesaran yang berhubungan dengan 
pangkat atau gelar yang tidak dimilikinya, diancam dengan pidana penjara paling 
lama empat bulan dua minggu atav pidana denda paling banyak empat ribu lima 
ratus rupiah.
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 230";"Pasal ini ditiadakan berdasarkan Undang-undang No.1 Tahun 1946 pasal 8, butir 
41. 
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 231";"(1) Barang siapa dengan sengaja menarik suatu barang yang disita berdasarkan 
ketentuanundang-undang atau yang dititipkan atas perintah hakim, atau dengan 
mengetahui bahwa barang ditarik dari situ, menyembunyikannya, diancam dengan 
pidana penjara paling lama empat tahun.
(2) Dengan pidana yang sama, diancam barang siapa dengan sengaja menghancurkan, 
merusak atau membikin tak dapat dipakai barang yang disita berdasarkan ketentuan 
undang-undang. 
(3) Penyimpan barang yang dengan sengaja melakukan atau membiarkan dilakukan 
salah satu kejahatan itu, atau sebagai pembantu menolong perbuatan itu, diancam 
dengan pidana penjara paling lama lima tahun.
(4) Jika salah satu perbuatan dilakukan karena kealpaan penyimpan barang, 
diancam dengan pidana kurungan paling lama satu bulan atau pidana denda paling 
banyak seribu delapan ratus rupiah.
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 232";"(1) Barang siapa dengan sengaja memutus, membuang atau merusak penyegelan suatu 
benda oleh atau atas nama penguasa umum yang berwenang, atau dengan cara lain 
menggagalkan penutupan dengan segel, diancam dengan pidana penjara paling lama 
dua tahun delapan bulan.
(2) Penyimpan barang yang dengan sengaja melakukan atau membiarkan perbuatan 
tersebut, atau sebagai pembantu menolong perbuatan itu, diancam dengan pidana 
penjara paling lama empat tahun. 
(3) Jika perbuatan dilakukan karena kealpaan penyimpan barang, diancam dengan 
pidana kurungan paling lama satu bulan atau pidana denda paling banyak seribu 
delapan ratus rupiah. 
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 233";"Barang siapa dengan sengaja menghancurkan, merusak, membikin tak dapat dipakai, 
menghilangkan barang-barang yang digunakan untuk meyakinkan atau membuktikan 
sesuatu di muka penguasa yang berwenang, akta-akta, surat-surat atau 
daftar-daftar yang atas perintah penguasa umum, terus-menerus atau untuk 
sementara waktu disimpan, atau diserahkan kepada seorang pejabat, ataupun kepada 
orang lain untuk kepentingan umum, diancam dengan pidana penjara paling lama 
empat tahun.
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 234";"Barang siapa dengan sengaja menarik dari alamatnya, membuka, atau merusak suzat- 
surat atau barang-barang lain yang diserahkan ke kantor pos atau kantor 
telegram, atau yang telah dimasukan dalam kotak pos atau dipercayakan kepada 
seorang pembawa surat, diancam dengan pidana penjara paling lama satu tahun 
empat bulan.
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 235";"Jika yang bersalah melakukan salah satu kejahatan berdasarkan pasal 231 - 234, 
masuk ke tempat kejahatan dengan membongkar, merusak atau memanjat, dengan 
memakai anak kunci palsu, perintah palsu atau pakaian jabatan palsu, pidananya 
boleh ditambah menjadi lipat dua.
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 236";"Barang siapa pada waktu damai dengan memakai salah satu cara berdasarkan pasal 
55 No. 2 sengaja menganjurkan seorang anggota tentara dalam dinas negara supaya 
melarikan diri, atau mempermudahnya menurut salah satu cara berdasarkan pasal 
56, diancam dengan pidana penjara paling lama sembilan bulan. 
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 237";"Barang siapa pada waktu damai dengan memakai salah satu cara berdasarkan pasal 
55 No. 2 sengaja menganjurkan supaya ada huru-hara atau pemberontakan di 
kalangan anggota Angkatan Bersenjata dalam dinas Negara atau mempermudahnya 
menurut sesuatu cara yang berdasarkan pasal 56, diancam dengan pidana penjara 
paling lama tujuh tahun.
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 238";"Barang siapa tanpa persetujuan Presiden mengajak masuk seorang menjadi tentara 
negara asing, diancam dengan pidana penjara paling lama satu tahun empat bulan 
atau pidana denda paling hanyak empat ribu lima ratus rupiah.
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 239";"Barang siapa tanpa persetujuan Presiden mengajak seorang warga negara Indonesia 
bekerja di luar Indonesia atau untuk mempertunjukkan di luar Indonesia cara 
sewajarnya kehidupan rakyat Indonesia. diancam dengan pidana penjara paling lama 
enam hulan atau pidana denda paling banyak empat ribu lima ratus rupiah.
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 240";"(1) Diancam dengan pidana penjara paling lama dua tahun delapan bulan: 
1.barang siapa dengan sengaja membikin atau menyuruh membikin dirinya tak mampu 
untuk memenuhi kewajib an berdasarkan pasal 30 Undang-Undang Dasar Republik 
Indonesia:
2.barang siapa atas permintaan orang lain, dengan sengaja membikin orang itu tak 
mampu memenuhi kewajiban tersebut.
(2) Jika perbuatan terakhir mengakibatkan kematian. diancam dengan pidana 
penjara paling lama tujuh tahun. 
"
"Bab VIII";"Kejahatan Terhadap Penguasa Umum";"Pasal 241";"Diancam dengan pidana penjara paling lama tiga bulan atau pidana denda paling 
banyak empat ribu lima ratus rupiah: 
1. ditiadakan berdasarkan L.N. 1955 - 28;
2. barang siapa dalam pengangkut ternak yang diwajibkan memakai pas pengantar, 
pada waktu mengangkut dengan sengaja memakai pas yang diberikan untuk ternak 
lain, seolah-olah diberikan untuk yang diangkut.
"
"Bab IX";"Sumpah Palsu Dan Keterangan Palsu";"Pasal 242";"(1) Barang siapa dalam keadaan di mana undang-undang menentukan supaya memberi 
keterangan di atas sumpah atau mengadakan akibat hukum kepada keterangan yang 
demikian, dengan sengaja memberi keterangan palsu di atas sumpah, baik dengan 
lisan atau tulisan, secara pribadi maupun oleh kuasanya yang khusus ditunjuk 
untuk itu, diancam dengan pidana penjara paling lama tujuh tahun.
(2) Jika keterangan palsu di atas sumpah diberikan dalam perkara pidana dan 
merugikan terdakwa atau tersangka, yang bersalah diancam dengan pidana penjara 
paling lama sembilan tahun.
(3) Disamakan dengan sumpah adalah janji atau penguatan diharuskan menurut 
aturan- aturan umum atau yang menjadi pengganti sumpah. 
(4) Pidana pencabutan hak berdasarkan pasal 35 No. 1 - 4 dapat dijatuhkan. 
"
"Bab IX";"Sumpah Palsu Dan Keterangan Palsu";"Pasal 243";"Ditiadakan berdasarkan Stbl. 1931 No. 240.
"
"Bab X";"Pemalsuan Mata Uang Dan Uang Kertas";"Pasal 244";"Barang siapa meniru atau memalsu mata uang atau kertas yang dikeluarkan oleh 
Negara atau Bank, dengan maksud untuk mengedarkan atau menyuruh mengedarkan mata 
uang atau uang kertas itu sebagai asli dan tidak dipalsu, diancam dengan pidana 
penjara paling lama lima belas tahun. 
"
"Bab X";"Pemalsuan Mata Uang Dan Uang Kertas";"Pasal 245";"Barang siapa dengan sengaja mengedarkan mata uang atau uang kertas yang 
dikeluarkan oleh Negara atau Bank sebagai mata uang atau uang kertas asli dan 
tidak dipalsu, padahal ditiru atau dipalsu olehnya sendiri, atau waktu diterima 
diketahuinya bahwa tidak asli atau dipalsu, ataupun barang siapa menyimpan atau 
memasukkan ke Indonesia mata uang dan uang kertas yang demikian, dengan maksud 
untuk mengedarkan atau menyuruh mengedarkan sebagai uang asli dan tidak dipalsu, 
diancam dengan pidana penjara paling lama lima belas tahun. 
"
"Bab X";"Pemalsuan Mata Uang Dan Uang Kertas";"Pasal 246";"Barang siapa mengurangi nilai mata uang dengan maksud untuk mengeluarkan atau 
menyuruh mengedarkan uang yang dikurangi nilainya itu, diancam karena merusak 
uang dengan pidana penjara paling lama dua belas tahun. 
"
"Bab X";"Pemalsuan Mata Uang Dan Uang Kertas";"Pasal 247";"Barang siapa dengan sengaja mengedarkan mata uang yang dikurangi nilai olehnya 
sendiri atau yang merusaknya waktu diterima diketahui sebagai uang yang tidak 
rusak, ataupun barang siapa menyimpan atau memasukkan ke Indonesia uang yang 
demikian itu dengan maksud untuk mengedarkan atau menyuruh mengedarkannya 
sebagai uang yang tidak rusak, diancam dengan pidana penjara paling lama dua 
belas tahun.
"
"Bab X";"Pemalsuan Mata Uang Dan Uang Kertas";"Pasal 248";"Ditiadakan berdasarkan Stbl. 1938 No. 593.
"
"Bab X";"Pemalsuan Mata Uang Dan Uang Kertas";"Pasal 249";"Barang siapa dengan sengaja mengedarkan mata uang yang tidak asli, dipalsu atau 
dirusak atau uang kertas Negara atau Bank yang palsu atau dipalsu, diancam, 
kecuali berdasarkan pasal 245 dan 247, dengan pidana penjara paling lama empat 
bulan dua minggu atau pidana denda paling banyak empat ribu lima ratus rupiah.
"
"Bab X";"Pemalsuan Mata Uang Dan Uang Kertas";"Pasal 250";"Barangsiapa membuat atau mempunyai persediaan bahan atau benda yang diketahuinya 
bahwa itu digunakan untuk meniru, memalsu atau mengurangi nilai mata uang, atau 
untuk meniru atau memalsu uang kertas negara atau bank, diancam dengan pidana 
penjara paling lama enam tahun atau pidana denda paling banyak empat ribu lima 
ratus rupiah.
"
"Bab X";"Pemalsuan Mata Uang Dan Uang Kertas";"Pasal 250 bis";"Pemidanaan berdasarkan salah satu kejahatan yang diterangkan dalam bab ini: maka 
mata uang palsu, dipalsu atau dirusak, uang kertas Negara atau Bank yang palsu 
atau dipalsukan, bahan-bahan atau benda-benda yang menilik sifatnya digunakan 
untuk meniru, memalsu atau mengurangi nilai mata uang atau uang kertas, 
sepanjang dipakai untuk atau menjadi obyek dalam melakukan kejahatan, dirampas, 
juga apabila barang- barang itu bukan kepunyaan terpidana.
"
"Bab X";"Pemalsuan Mata Uang Dan Uang Kertas";"Pasal 251";"Diancam dengan pidana penjara paling lama satu tahun atau pidana denda paling 
banyak sepuluh ribu rupiah, barang siapa dengan sengaja dan tanpa izin 
Pemerintah, menyimpan atau memasukkan ke Indonesia keping-keping atau 
lembar-lembaran perak, baik yang ada maupun yang tidak ada capnya atau 
dikerjakan sedikit, mungkin dianggap sebagai mata uang, padahal tidak 
nyata-nyata akan digunakan sebagai perhiasan atau tanda peringatan. 
"
"Bab X";"Pemalsuan Mata Uang Dan Uang Kertas";"Pasal 252";"Dalam hal pemidanaan berdasarkan salah satu kejahatan yang diterangkan dalam 
pasal 244 - 247, maka hak-hak sebagaimana dimaksud dalam pasal 35 No. 1 - 4 
dapat dicabut.
"
"Bab XI";"Pemalsuan Materai Dan Merek";"Pasal 253";"Diancam dengan pidana penjara paling lama tujuh tahun: 
1. barang siapa meniru atau memalsu meterai yang dikeluarkan oleh Pemerintah 
Indonesia, atau jika diperlukan tanda-tangan untuk sahnya meterai itu, barang 
siapa meniru atau memalsu tanda-tangan, dengan maksud untuk memakai atau 
menyuruh orang lain memakai meterai itu sebagai meterai yang asli dan tidak 
dipalsu atau yang sah; 
2 barang siapa dengan maksud yang sama, membikin meterai tersebut dengan 
menggunakan cap yang asli secara melawan hukum. 
"
